"V3","V6","V7","V8","V5","V2","V4","V1"
66.1029426325537,45.8180799562332,48.7018147185562,70.5568213370404,44.3407592286214,81.2647380103235,64.3843140747465,58.3015876615275
69.8607754331081,50.913661619965,56.8973620293472,84.9090391351581,50.8851593402629,85.5928072671045,75.1783823009928,66.4528786915159
68.109737493503,48.398430859963,58.7809556790682,72.8525620879518,46.3564817862781,80.869134503342,66.5469097556517,67.2844857100637
69.2833046687973,49.7543379272752,56.0123124160319,84.594547593625,51.3907026522947,84.6463680610482,75.4605527867539,66.8513028267936
65.8222305116956,48.0454251898844,56.3766291439217,77.7409238583062,47.662625283513,80.1863059045017,68.001369316323,62.3883927155943
69.2203138619458,51.1544509754001,59.1293583769696,82.9700045473382,49.913559758268,83.7874869910486,72.286634982007,67.4497742683007
65.6702646945092,48.9899578982567,54.1194996642692,85.0277348473551,50.3941875072459,81.0474994499749,76.5103029791509,62.951001565643
63.1784856167378,46.1341045199033,51.9597395216988,92.7104903785781,51.1476230539521,81.0878845640952,81.9167615611046,57.120678504655
66.4012726047849,47.074441399176,51.5489142791331,79.7414055851533,49.16967727062,82.3004433730395,70.1945180978275,60.2311622887847
71.7873226157283,50.6604539572715,59.7765456931368,82.8357562150249,50.8084377359224,86.2800485305404,72.9615736858257,71.0409359559856
68.7593589010701,49.151427342273,51.5639337773643,67.4760842967263,44.2800952575235,82.9729926270341,58.8656750759007,61.5527402294202
69.8413230715155,50.832188360348,57.4790711761953,86.5357103176153,48.511023784786,85.1417332558855,77.7718742725304,67.8262313995
67.0553570935322,45.4743742006222,49.4783964615224,78.009093917491,50.4236939333468,83.5951944882993,70.5974375982925,59.2531670679638
66.040852642844,47.9201051536389,51.9535247363798,69.1322202847555,46.513965974865,80.0327009631377,62.4906897726221,60.4127011452021
68.3393221856376,45.6266750472944,50.4045862694358,72.0572075338176,47.0631255478106,83.8291122427349,63.6686686562711,60.2088894592015
68.3274208824961,48.0274849640333,53.3173679694236,89.8840709474753,52.3809853023951,85.9074903392147,80.1647351558155,62.8391939682463
68.0834579926925,48.0443838712243,51.5761824773354,84.4501316126375,50.9956304004599,84.9316443491429,74.7151638678523,61.6400547799336
67.5428291891649,48.6072446268855,54.6903816724428,70.2943522895572,44.1809714217013,81.0193093058109,62.8144212670279,63.4337828675579
65.4307470722245,47.9778391967612,53.6591563624838,85.3239593458695,49.2633987506803,80.835745962377,78.1210505600776,63.0151634724019
67.1397385874825,47.6466968940563,55.9503963425598,73.0477746303989,45.5227797876505,81.0391566914443,68.5421146743901,63.9520314407693
67.6744751398308,47.4503131011,50.6907121130598,73.0542656060385,47.6339958018633,82.7135439716402,64.4105797044028,61.2103277046346
68.9570034712453,49.8258449219488,58.0231144110265,80.3787852033705,49.2331398756622,83.3996949775647,72.7582139713661,67.2837404205765
69.6050576478271,48.6090825936781,52.5364095715942,77.6259818083157,47.3923292900808,85.5590473588954,67.4439817842345,62.5058511777307
