"x","y"
2013.07001514019,2230.81801179468
1996.8834563977,2250.62096161278
1984.7823567342,2286.46793170094
2003.70173966,2255.02102949248
2002.17273827337,2235.8823248142
1996.65922115885,2266.49096734733
2002.47532743481,2252.19839311095
2002.83684911211,2256.00112484203
1995.17627388492,2240.90255405212
2000.42988385955,2237.03145903876
2012.66089409057,2244.36232885377
1982.22558063444,2265.0855745728
2002.78782420985,2250.08336349822
1994.24298942389,2256.04483327943
1982.46223161964,2258.36848377297
1987.07964531155,2275.50740572492
2012.79250938076,2230.79285088752
1989.05406511993,2245.08471065403
1989.4303234214,2253.18363558103
2015.72546971919,2232.36803667014
2004.13706236089,2243.57426652277
2006.02895913272,2231.76476461835
1996.45043387238,2243.33000848176
2008.61029159616,2235.70668197621
2007.3507724138,2253.85757934997
1998.25507772571,2255.43188067335
2002.16137049703,2238.55765660852
1995.51142227173,2248.14717575755
1991.86821343312,2261.53853138466
1994.19163237218,2249.49481458803
1998.04263884487,2253.53912170588
2004.61857796285,2249.92237106103
2010.00871571407,2245.08766373292
1988.66593210334,2257.69736687606
1996.12912538383,2253.40973453727
1988.86710915919,2265.75350376589
1995.16935290912,2233.04446815154
2004.18916669539,2250.63210497364
2010.24953906934,2239.27070241934
2002.69433368991,2259.83375993909
1993.73696838917,2255.21845158719
1999.68383182728,2245.05038342589
1990.74464706601,2258.47409487763
1993.47001618343,2255.59547773263
1997.32686257663,2254.17588635699
1997.55491627683,2253.27828794127
1985.1855767022,2262.72667257991
2001.68767037047,2238.49342119965
1995.76768136389,2239.71544654205
1995.2745792135,2257.0991698022
2000.34439720957,2241.82546943542
1990.4427404815,2258.08825261203
2007.20963701106,2240.94276170356
1992.96088824522,2246.25750546425
2011.68158720366,2248.03643663321
1988.0306905569,2258.04012835177
1986.3707101461,2271.94387333236
1977.23517983324,2270.55570423321
1991.31139523067,2240.00557683014
2000.16536428909,2249.50290211214
1994.87632252341,2251.13153374994
2011.3230662346,2242.13289423593
2006.76403947969,2239.07039523582
1993.09246878434,2264.42074523254
2016.67471904058,2222.81833112091
2007.57341925775,2225.89487263217
1995.84192646028,2239.92165687055
1990.04762779232,2266.5829673057
1977.7553525567,2272.81716115295
1988.53815578871,2248.26380725012
1993.65234177981,2242.33625827019
2002.73757727252,2258.30673620828
2010.48933538986,2239.87039722977
2017.1241495274,2230.48555721969
2015.34063360133,2233.79726814508
1987.2466331476,2249.80605276577
2003.78720720777,2242.37501108138
2010.82997839271,2233.80623128675
2002.56754671752,2263.9014942131
1997.46980649375,2249.61462797803
2002.4229033065,2258.90544063699
2014.68072348702,2252.58266864581
1996.25307076542,2256.57141792175
2004.05948845899,2253.37664581241
1995.81453257378,2248.18222539804
2008.8198973545,2237.91933895219
2005.44027902963,2247.47500288958
1996.30940240877,2251.70946494575
2002.99654737282,2253.97539059614
1994.8296091116,2247.96514290439
2000.66654364871,2247.60818172703
2010.42421110916,2242.46988233534
1981.44925800287,2249.08983947708
2006.70577920081,2232.45442028644
2003.5203760854,2255.65611878307
1989.0978530152,2252.04136270071
1995.08896004318,2250.60895171097
2001.37772842568,2253.92143705858
1990.70590388559,2259.08677039015
1990.11473349466,2258.45918186925
2002.2226739906,2243.47473551423
1999.09671510068,2252.83563101884
2012.84531120493,2245.26949454629
2000.41730912773,2249.23907985866
2008.51718269788,2243.84069119372
2003.51098451976,2244.49078561631
1987.7237135565,2250.78936897198
2008.03995545262,2243.56472058691
1991.32472624986,2255.44994545357
2007.89864037139,2239.77475071391
2005.50179298557,2242.08014635782
2008.95206868008,2248.24698032076
2010.81687657748,2244.60583901005
2007.23020614974,2245.69736509384
1997.5826490965,2260.98671521734
1998.03582431033,2243.73992471054
1990.80195499556,2252.75398273381
1996.91033068675,2249.13505379358
2000.22741984649,2257.01771992428
2008.09013151533,2262.964939675
1993.63385335167,2269.46373064483
1998.03467230587,2257.58845037047
2000.6522676279,2245.36600919083
1992.22165171254,2250.42237548768
2013.74028964982,2227.06156661486
1995.59088684851,2245.43109573428
1992.53479360314,2264.18122221808
1993.67918297279,2254.99214569689
1997.54447371412,2228.49981345425
1999.08007098125,2258.06719216217
2000.16232030391,2245.66446307236
2005.77906941856,2232.77281762887
2003.60879241995,2249.06323891348
1978.66299604223,2269.4334955719
2002.51966165052,2246.10085283799
2005.09409645022,2238.68771435861
2010.02199883939,2248.36754598487
2008.67533446475,2235.59505418712
2006.81993653186,2242.96981542327
2008.85680449281,2241.69064299542
2008.26266719539,2245.16331677108
2006.87778045662,2240.71267139439
1987.8875384083,2261.0293611648
1996.52580039655,2251.47654973615
1988.51834249852,2252.33910699387
1991.53114060643,2245.53874566241
2012.16718961268,2234.18568143903
1985.17963748669,2277.1467497391
1985.74534398986,2246.02941849481
1986.60559984173,2268.52963005029
2005.44157537548,2243.8035595623
2011.85624178829,2242.61458664455
1994.07529053155,2259.69679592018
1995.68806018963,2258.4526753662
1996.64614737459,2267.13381483263
2008.39314712584,2259.23689315259
1970.67949062441,2281.54558083527
2002.44784497832,2248.08948817864
2002.86892408608,2247.64547667756
1993.81180967732,2259.74707771873
2007.10319636294,2251.18240337067
2014.63387514984,2246.65738457527
1991.55683259091,2249.1045697218
2008.35450370734,2245.99910861618
2002.55750833798,2260.22358909767
2010.40780701536,2223.46554881832
